BARANGAY,CRIME_TYPE,YEAR,MONTH
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2022,10
BUDA,MURDER,2022,7
 DALIAO  ,MURDER,2022,11
40-D BOLTON ISLA,Murder,2022,3
 SALUMAY  ,MURDER,2022,5
CALINAN (POB.),MURDER,2022,3
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",MURDER,2022, 12 
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",MURDER,2022,7
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2022, 10 
CALINAN (POB.),MURDER,2022,7
TUGBOK (POB.),MURDER,2022,10
 BAGANIHAN  ,MURDER,2022,1
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",HOMICIDE,2022,5
BARANGAY 18-B,HOMICIDE,2022,10
SAN ISIDRO,HOMICIDE,2022,5
BUNAWAN (POB.),HOMICIDE,2022,6
"INDANGAN (BRGY UNDER PS 13, DCPO)",HOMICIDE, 2022 ,8
TUNGKALAN,HOMICIDE,2022,4
BARANGAY 3-A (POB.),HOMICIDE,2022,8
 PANALUM  ,PHYSICAL INJURIES,2022, 1 
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2022,10
MALABOG,PHYSICAL INJURIES,2022,3
TALOMO RIVER,PHYSICAL INJURIES,2022,4
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2022,12
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2022,1
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",Physical Injuries,2022,3
 BANTOL  ,PHYSICAL INJURIES,2022,6
COMMUNAL,PHYSICAL INJURIES,2022,8
RIVERSIDE,PHYSICAL INJURIES,2022, 6 
 SAN ISIDRO  ,PHYSICAL INJURIES,2022,8
 ALAMBRE  ,PHYSICAL INJURIES,2022,9
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",PHYSICAL INJURIES,2022,6
TALOMO (POB.),PHYSICAL INJURIES,2022,6
 BARANGAY 26-C  ,PHYSICAL INJURIES,2022,6
BARANGAY 11-A,PHYSICAL INJURIES,2022,7
SIRIB,Physical Injuries,2022,12
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2022, 12 
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",PHYSICAL INJURIES,2022,11
LUBOGAN,PHYSICAL INJURIES,2022,2
TUGBOK (POB.),PHYSICAL INJURIES,2022, 1 
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",PHYSICAL INJURIES,2022,9
SALOY,PHYSICAL INJURIES,2022,6
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",PHYSICAL INJURIES,2022,9
BARANGAY 27-C,PHYSICAL INJURIES,2022,11
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",PHYSICAL INJURIES,2022,6
TALOMO RIVER,PHYSICAL INJURIES,2022,8
BAGUIO PROPER,Physical Injuries,2022,4
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",physical injuries,2022,9
TIBUNGCO,PHYSICAL INJURIES,2022,7
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",PHYSICAL INJURIES,2022, 3 
SUBASTA,Physical Injuries,2022,3
SUBASTA,PHYSICAL INJURIES,2022,2
BARANGAY 37-D,PHYSICAL INJURIES,2022,7
MATINA PANGI,RAPE,2022,11
BARANGAY 32-D,RAPE,2022,5
WINES,RAPE,2022,10
BUDA,RAPE, 2022 ,12
PAQUIBATO (POB.),RAPE,2022,12
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",RAPE,2022,2
PAMPANGA,RAPE, 2022 ,6
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2022,12
76-A BUCANA,RAPE,2022,8
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,12
MAPI-ILA,RAPE,2022,10
76-A (BUCANA),RAPE,2022,7
GUMITAN,RAPE,2022,7
"ACACIA (BRGY UNDER PS 13, DCPO)",RAPE,2022,2
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2022,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,5
BARANGAY 11-A,RAPE,2022,6
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,4
TORIL (POB.),RAPE,2022,8
LASANG,RAPE,2022,2
"ACACIA (BRGY UNDER PS 13, DCPO)",RAPE,2022,7
TUNGKALAN,rape,2022,1
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,4
" BARANGAY 10-A (BRGY UNDER ps 14, DCPO)  ",RAPE,2022,4
TAMUGAN,RAPE,2022,6
 MATINA PANGI  ,Rape,2022,4
76-A BUCANA,RAPE,2022,6
MARAPANGI,RAPE,2022,7
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,5
 SUAWAN (TULI)  ,RAPE,2022, 7 
BARANGAY 13-B,RAPE,2022,1
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Rape,2022, 6 
BARANGAY 39-D (POB.),RAPE,2022,5
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022, 7 
BARANGAY 38-D (OB.),RAPE,2022,9
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",RAPE,2022,4
BAGANIHAN,RAPE, 2022 , 3 
BARANGAY 14-B,RAPE,2022,10
PAMPANGA,RAPE,2022,12
TAMBOBONG,RAPE,2022,8
LIZADA,RAPE,2022,7
VICENTE HIZON SR.,RAPE,2022,10
 SALOY  ,RAPE,2022,10
SALUMAY,RAPE,2022,4
TAMUGAN,RAPE,2022,2
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",RAPE,2022,12
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,3
LAMANAN,RAPE,2022,12
 GUMALANG  ,RAPE,2022,1
TALOMO (POB.),RAPE,2022,10
BAYABAS,RAPE,2022,12
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",Rape,2022,5
 BARANGAY 18-B  ,RAPE, 2022 ,6
LUBOGAN,rape,2022,6
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",RAPE, 2022 ,12
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,10
" BARANGAY 10-A (BRGY UNDER ps 14, DCPO)  ",rape, 2022 ,1
MATINA PANGI,RAPE,2022,12
CALINAN (POB.),RAPE,2022,11
TUNGKALAN,RAPE,2022,10
" AQUINO (BRGY IS NOW UNDER PS 18, DCPO)  ",RAPE,2022,1
76-A (BUCANA),RAPE,2022,8
MAPI-ILA,RAPE,2022,6
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022, 10 
BARANGAY 28-C,RAPE,2022,7
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,11
PANALUM,RAPE,2022,4
 TAMAYONG  ,RAPE, 2022 ,10
MARAPANGI,RAPE,2022,1
 CATALUNAN GRANDE  ,RAPE,2022,7
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,11
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,9
 SAN ISIDRO  ,RAPE,2022,8
RIVERSIDE,RAPE,2022, 2 
 BARANGAY 18-B  ,RAPE,2022,4
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,7
 CAWAYAN  ,RAPE,2022,12
 PAQUIBATO (POB.)  ,RAPE,2022,5
WANGAN,RAPE,2022,5
SALAYSAY,RAPE,2022,11
BARANGAY 5-A (POB.),RAPE,2022,2
BARANGAY 3-A (POB.),RAPE,2022,8
BARANGAY 22-C,RAPE,2022,10
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",RAPE,2022,8
 TALOMO (POB.)  ,RAPE,2022,8
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2022,3
SIRIB,RAPE,2022, 7 
CARMEN,RAPE,2022,11
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",RAPE,2022,7
PANALUM,RAPE,2022,4
PANALUM,RAPE,2022,10
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,2
" ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)  ",RAPE,2022, 12 
TUNGKALAN,RAPE,2022,11
 BARANGAY 18-B  ,Rape, 2022 ,7
BARANGAY 39-D (POB.),RAPE,2022,7
LUBOGAN,RAPE, 2022 ,6
 BUNAWAN (POB.)  ,RAPE,2022,8
BUHANGIN (POB.),RAPE,2022,7
BARANGAY 28-C,RAPE,2022, 3 
LIZADA,RAPE,2022,8
MALABOG,RAPE,2022,4
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,2
WANGAN,RAPE,2022,4
BARANGAY 37-D,RAPE, 2022 ,4
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2022,10
DALIAO,RAPE,2022,6
CARMEN,rape,2022,11
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,6
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",RAPE,2022,9
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2022,10
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",RAPE,2022,2
ULAS ,RAPE,2022,5
 WANGAN  ,rape, 2022 ,12
ULAS ,RAPE,2022,12
CALINAN (POB.),RAPE,2022, 1 
76-A BUCANA,RAPE,2022, 7 
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",RAPE,2022,7
" BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)  ",RAPE,2022,4
76-A BUCANA,RAPE,2022,12
SUBASTA,RAPE,2022,12
ULAS ,rape,2022,11
MABUHAY,RAPE,2022, 5 
BAGANIHAN,RAPE,2022,7
CALINAN (POB.),RAPE,2022,2
SALAYSAY,RAPE,2022,1
BUNAWAN (POB.),RAPE, 2022 ,11
CARMEN,rape,2022,10
SANTO NINO,RAPE, 2022 ,5
MAGSAYSAY,RAPE,2022,11
76-A BUCANA,RAPE,2022,6
 CABANTIAN  ,RAPE,2022,5
GUMITAN,RAPE,2022,7
BARANGAY 28-C,RAPE,2022,10
40-D BOLTON ISLA,RAPE,2022,7
BAO JOAQUIN,RAPE,2022,4
SUAWAN (TULI),RAPE,2022,4
BARANGAY 13-B,RAPE,2022,9
ALFONSO ANGLIONGTO SR,RAPE,2022,4
 BARANGAY 22-C  ,RAPE, 2022 ,3
MABUHAY,RAPE,2022,6
SALAYSAY,RAPE,2022,11
PAMPANGA,RAPE,2022,6
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,6
WINES,RAPE,2022,8
PAMPANGA,RAPE,2022,6
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2022,6
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",RAPE,2022,2
BARANGAY 28-C,RAPE,2022,8
CAWAYAN,RAPE, 2022 ,11
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",RAPE,2022,10
74-A (MATINA CROSSING),RAPE,2022,10
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",RAPE,2022,9
" LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)  ",RAPE,2022, 9 
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",rape, 2022 ,7
BAGANIHAN,RAPE,2022, 11 
GUMITAN,RAPE,2022,12
MARILOG,RAPE,2022,9
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",RAPE,2022,11
BARANGAY 39-D (POB.),RAPE,2022,11
"INDANGAN (BRGY UNDER PS 13, DCPO)",RAPE,2022,12
BANGKAS HEIGHTS,RAPE,2022, 6 
BAGANIHAN,rape,2022,9
LAMANAN,RAPE,2022,10
CARMEN,Rape,2022,10
MAPI-ILA,rape,2022,12
BAGO OSHIRO,RAPE,2022,11
 SALUMAY  ,RAPE,2022,11
 MALAGOS  ,rape,2022,2
SUAWAN (TULI),RAPE,2022,12
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",rape,2022,4
TIBUNGCO,RAPE,2022,6
74-A (MATINA CROSSING),RAPE,2022,1
MATINA PANGI,RAPE,2022,10
SASA,RAPE,2022,4
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",RAPE, 2022 ,11
MAGSAYSAY,RAPE,2022,3
" BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)  ",RAPE,2022, 1 
PAMPANGA,RAPE,2022, 5 
" DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)  ",RAPE,2022,12
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",RAPE,2022, 10 
CATALUNAN GRANDE,RAPE,2022,12
TALOMO (POB.),RAPE,2022,4
BUDA,RAPE,2022,6
CABANTIAN,RAPE,2022,11
MARILOG,RAPE,2022,7
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",RAPE,2022,11
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",RAPE,2022,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",RAPE,2022,9
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2022,8
BARANGAY 27-C,ROBBERY,2022,7
WINES,ROBBERY,2022,11
MARILOG,robbery,2022,2
MAPI-ILA,ROBBERY,2022,7
 GUMITAN  ,Robbery,2022,12
 PAMPANGA  ,ROBBERY,2022,8
BARANGAY 28-C,ROBBERY, 2022 ,4
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2022,1
BARANGAY 2-A (POB.),ROBBERY,2022,6
MAPI-ILA,Robbery,2022,1
BARANGAY 11-A,ROBBERY, 2022 ,9
DALIAO,ROBBERY,2022,12
MULIG,ROBBERY,2022,10
SALAPAWAN,ROBBERY,2022,6
BAO JOAQUIN,ROBBERY, 2022 ,12
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",ROBBERY,2022,6
MAHAYAG,ROBBERY,2022,8
" MAA (BRGY IS NOW UNDER ps 16, DCPO)  ",ROBBERY,2022,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2022,10
SALAYSAY,ROBBERY,2022,7
MATINA PANGI,ROBBERY,2022, 3 
TACUNAN,ROBBERY,2022,7
"WAAN (BRGY UNDER ps 13, DCPO)",ROBBERY,2022,3
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",ROBBERY,2022,1
TAMUGAN,ROBBERY,2022,5
CABANTIAN,ROBBERY,2022,11
BARANGAY 32-D,ROBBERY,2022, 11 
ALFONSO ANGLIONGTO SR,Robbery,2022,7
MAGSAYSAY,Robbery,2022,11
BARANGAY 14-B,ROBBERY,2022,12
TAMAYONG,Robbery,2022,11
BUDA,ROBBERY,2022,4
TALOMO RIVER,ROBBERY,2022,12
" BALIOK (BRGY IS NOW UNDER PS 17, DCPO)  ",ROBBERY,2022,4
 RIVERSIDE  ,ROBBERY,2022,7
TIGATTO,robbery,2022,9
MULIG,ROBBERY,2022,12
TACUNAN,ROBBERY,2022,11
BANGKAS HEIGHTS,ROBBERY,2022,12
TUNGKALAN,robbery,2022,8
MAPI-ILA,ROBBERY, 2022 , 12 
BARANGAY 37-D,ROBBERY,2022,5
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",ROBBERY,2022,3
 FATIMA (BENOWANG)  ,robbery,2022,12
TAMAYONG,ROBBERY,2022, 12 
MATINA PANGI,ROBBERY,2022,12
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",ROBBERY,2022,2
 BARANGAY 37-D  ,ROBBERY,2022,9
"WAAN (BRGY UNDER ps 13, DCPO)",ROBBERY,2022,4
 PAQUIBATO (POB.)  ,ROBBERY,2022,11
" INDANGAN (BRGY UNDER PS 13, DCPO)  ",Robbery,2022,11
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",robbery,2022,9
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2022,10
TIBUNGCO,Robbery,2022,1
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",ROBBERY,2022,7
"INDANGAN (BRGY UNDER PS 13, DCPO)",ROBBERY,2022,9
"INDANGAN (BRGY UNDER PS 13, DCPO)",ROBBERY,2022,10
SASA,ROBBERY,2022,9
MAHAYAG,ROBBERY,2022,12
"MANDUG (BRGY UNDER PS 13, DCPO)",ROBBERY,2022,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",ROBBERY,2022, 5 
BARANGAY 38-D (OB.),ROBBERY,2022,6
 ALAMBRE  ,robbery,2022,11
 TIBUNGCO  ,ROBBERY,2022,12
BARANGAY 3-A (POB.),ROBBERY,2022,12
"WAAN (BRGY UNDER ps 13, DCPO)",ROBBERY,2022, 9 
FATIMA (BENOWANG),ROBBERY,2022,11
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,12
BINUGAO,Theft,2022,8
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2022,12
74-A (MATINA CROSSING),THEFT,2022, 7 
 BANGKAS HEIGHTS  ,THEFT,2022,4
MARAPANGI,THEFT, 2022 ,4
WINES,THEFT,2022,12
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,6
CATALUNAN GRANDE,THEFT,2022,4
MALAGOS,THEFT, 2022 ,7
TORIL (POB.),THEFT,2022,2
LAMANAN,THEFT,2022, 9 
TAMUGAN,THEFT,2022,12
TALOMO RIVER,THEFT,2022,9
BARANGAY 13-B,THEFT,2022, 3 
BUNAWAN (POB.),THEFT,2022,7
TAMUGAN,THEFT,2022,8
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",Theft,2022,9
SALAYSAY,THEFT,2022,11
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,3
SIRIB,THEFT,2022,11
BARANGAY 13-B,Theft,2022,4
LAMANAN,THEFT,2022,7
BINUGAO,THEFT,2022,12
BANTOL,THEFT,2022,12
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2022,12
TACUNAN,THEFT,2022,12
 BARANGAY 28-C  ,THEFT,2022,12
BARANGAY 3-A (POB.),THEFT,2022,9
"MANDUG (BRGY UNDER PS 13, DCPO)",THEFT,2022,8
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2022,12
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,5
CABANTIAN,THEFT,2022,11
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2022,6
SALOY,THEFT,2022,2
TUGBOK (POB.),THEFT,2022,8
BARANGAY 2-A (POB.),theft,2022,11
74-A (MATINA CROSSING),THEFT,2022,7
BAGO OSHIRO,THEFT,2022,9
TAMUGAN,THEFT,2022,12
BUDA,THEFT,2022,2
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",THEFT,2022,5
WINES,THEFT,2022,8
" PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)  ",THEFT,2022,7
TUGBOK (POB.),THEFT,2022,3
SALAYSAY,THEFT,2022,8
TAMAYONG,THEFT,2022,11
TALOMO (POB.),THEFT,2022,2
BAO JOAQUIN,THEFT,2022,12
BARANGAY 11-A,THEFT,2022,11
BARANGAY 11-A,THEFT,2022, 8 
BAGO OSHIRO,THEFT, 2022 ,10
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2022,2
BINUGAO,THEFT, 2022 ,6
" BARANGAY 10-A (BRGY UNDER ps 14, DCPO)  ",THEFT,2022,9
CAWAYAN,THEFT,2022,4
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,3
EDEN,THEFT,2022,12
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2022,5
TUNGKALAN,THEFT, 2022 ,12
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",THEFT,2022,4
MALABOG,THEFT,2022,7
WINES,theft, 2022 , 6 
BARANGAY 22-C,THEFT, 2022 ,8
 PAQUIBATO (POB.)  ,THEFT,2022,8
76-A (BUCANA),THEFT,2022,3
 MARILOG  ,THEFT,2022,12
NEW VALENCIA,THEFT,2022,11
 GUMALANG  ,THEFT,2022, 6 
BUHANGIN (POB.),THEFT,2022,11
 BANGKAS HEIGHTS  ,THEFT,2022,6
GUMALANG,Theft,2022,2
 SUBASTA  ,THEFT,2022,2
BARANGAY 11-A,THEFT,2022,5
PANACAN,THEFT,2022,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2022,12
 EDEN  ,THEFT,2022,7
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,11
BARANGAY 22-C,theft,2022,8
BARANGAY 37-D,Theft, 2022 , 10 
"ACACIA (BRGY UNDER PS 13, DCPO)",THEFT,2022,6
BARANGAY 37-D,THEFT,2022,9
PANALUM,THEFT,2022,11
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2022,9
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",THEFT,2022,1
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",THEFT,2022,3
BARANGAY 23-C,THEFT, 2022 ,1
BANGKAS HEIGHTS,THEFT,2022,12
TIGATTO,THEFT,2022, 5 
EDEN,theft,2022,12
76-A BUCANA,THEFT,2022,3
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",THEFT,2022,3
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,9
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,6
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",THEFT,2022, 3 
 BARANGAY 17-B  ,THEFT,2022,1
 CALINAN (POB.)  ,theft,2022, 10 
 74-A (MATINA CROSSING)  ,THEFT, 2022 ,11
BUDA,Theft,2022,9
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",THEFT, 2022 ,10
TUGBOK (POB.),THEFT,2022,9
SALAPAWAN,THEFT,2022,10
EDEN,THEFT,2022,10
DALIAO,Theft,2022,10
ALAMBRE,THEFT,2022,5
SANTO NINO,THEFT,2022,3
WANGAN,THEFT,2022,11
SALUMAY,THEFT, 2022 ,7
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",THEFT,2022,5
TAMUGAN,THEFT,2022,10
PAMPANGA,THEFT,2022,12
TAMUGAN,THEFT,2022,11
PANALUM,THEFT,2022,1
SUBASTA,THEFT,2022,1
BARANGAY 11-A,THEFT,2022,8
SANTO NINO,THEFT,2022, 11 
SALAYSAY,THEFT,2022,5
TIBUNGCO,THEFT,2022,12
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,12
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",THEFT,2022,3
BARANGAY 13-B,THEFT,2022,2
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",THEFT,2022,9
BARANGAY 18-B,CARNAPPING_MC,2022,11
BARANGAY 11-A,CARNAPPING_MC, 2022 ,6
40-D BOLTON ISLA,carnapping_mc,2022,1
TAMBOBONG,CARNAPPING_MC,2022,4
SAN ISIDRO,CARNAPPING_MC,2022,7
TAPAK,CARNAPPING_MC,2022,5
BARANGAY 32-D,CARNAPPING_MC,2022,3
SALAYSAY,CARNAPPING_MC, 2022 , 2 
 COMMUNAL  ,MURDER,2023,6
BARANGAY 5-A (POB.),murder,2023,11
SALUMAY,MURDER,2023,5
LACSON,MURDER,2023,4
SALAPAWAN,MURDER,2023,8
BAO JOAQUIN,MURDER, 2023 ,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",MURDER,2023,2
CAWAYAN,MURDER,2023,9
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",MURDER, 2023 ,7
 BARANGAY 5-A (POB.)  ,MURDER,2023,12
GUMITAN,MURDER,2023,11
 SAN ISIDRO  ,MURDER,2023, 5 
 MARAPANGI  ,MURDER,2023,2
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",MURDER, 2023 ,6
SASA,MURDER,2023, 5 
BARANGAY 3-A (POB.),MURDER,2023,1
TUGBOK (POB.),MURDER,2023, 9 
 CALINAN (POB.)  ,MURDER,2023,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2023,10
 BARANGAY 37-D  ,MURDER,2023,10
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",murder,2023,4
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",murder,2023, 1 
" DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)  ",MURDER,2023,3
BARANGAY 32-D,MURDER,2023,3
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",MURDER,2023,5
WANGAN,MURDER,2023,10
WANGAN,MURDER,2023, 10 
 BARANGAY 38-D (OB.)  ,MURDER,2023,7
COMMUNAL,MURDER,2023,9
BARANGAY 38-D (OB.),MURDER,2023,5
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",MURDER,2023,7
BARANGAY 13-B,Murder,2023,10
BARANGAY 28-C,MURDER,2023,6
DALIAO,MURDER,2023,8
 BANGKAS HEIGHTS  ,MURDER,2023,3
BARANGAY 37-D,MURDER,2023,3
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2023,2
SANTO NINO,MURDER,2023,5
DALIAO,MURDER,2023,10
 BARANGAY 14-B  ,MURDER,2023,10
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2023,9
 TIBUNGCO  ,murder,2023,7
WINES,MURDER,2023,4
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",MURDER,2023,2
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",MURDER,2023,8
 ALAMBRE  ,MURDER,2023,6
 BARANGAY 2-A (POB.)  ,MURDER, 2023 ,8
MARILOG,MURDER,2023, 4 
TAMUGAN,MURDER,2023,9
BANTOL,MURDER,2023,9
LASANG,MURDER,2023,9
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",MURDER,2023,5
LUBOGAN,MURDER,2023,12
TORIL (POB.),MURDER,2023,4
 VICENTE HIZON SR.  ,HOMICIDE,2023,2
"INDANGAN (BRGY UNDER PS 13, DCPO)",HOMICIDE,2023,12
" AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)  ",HOMICIDE,2023,8
MALAGOS,homicide, 2023 ,5
FATIMA (BENOWANG),HOMICIDE,2023,2
EDEN,HOMICIDE,2023,7
BAYABAS,HOMICIDE,2023,10
BARANGAY 39-D (POB.),HOMICIDE,2023,5
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",HOMICIDE,2023,12
VICENTE HIZON SR.,HOMICIDE,2023,1
