GU,Date,offense,Count
NEW VALENCIA,2020-08-01,THEFT,1
BARANGAY 8-A,2020-08-01,THEFT,21
PAQUIBATO,2020-08-01,BURGLARY,1
BAGO OSHIRO,2020-08-01,CHILD ABUSE,12
SAN ISIDRO,2020-08-01,RAPE,20
WINES,2020-08-01,CARNAPPING,8
MAHAYAG,2020-08-01,VANDALISM,9
CARMEN,2020-08-01,DRUG-RELATED,4
PANALUM,2020-08-01,CARNAPPING,24
RIVERSIDE,2020-08-01,DRUG-RELATED,17
TAMBOBONG,2020-08-01,THEFT,2
TUNGKALAN,2020-08-01,ROBBERY,9
AGDAO PROPER,2020-08-01,THEFT,7
TUNGKALAN,2020-08-01,ROBBERY,3
BARANGAY 3-A,2020-08-01,PHYSICAL INJURY,19
TUGBOK,2020-08-01,BURGLARY,15
ACACIA,2020-08-01,CHILD ABUSE,1
BALIOK,2020-08-01,CARNAPPING,6
ILANG,2020-08-01,THEFT,5
BARANGAY 18-B,2020-08-01,CARNAPPING,12
40-D BOLTON ISLA,2020-08-01,VANDALISM,12
BARANGAY 23-C,2020-08-01,VANDALISM,22
WINES,2020-08-01,ROBBERY,18
SUAWAN,2020-08-01,CARNAPPING,20
CABANTIAN,2020-08-01,RAPE,10
BARANGAY 38-D,2020-08-01,HOMICIDE,18
BARANGAY 2-A,2020-08-01,PHYSICAL INJURY,18
BAGUIO PROPER,2020-08-01,CHILD ABUSE,5
LIZADA,2020-08-01,CHILD ABUSE,11
WINES,2020-08-01,CHILD ABUSE,23
MATINA CROSSING,2020-08-01,DRUG-RELATED,13
INDANGAN,2020-08-01,THEFT,19
WINES,2020-08-01,PHYSICAL INJURY,2
SANTO NINO,2020-08-01,PHYSICAL INJURY,15
SAN ANTONIO,2020-08-01,PHYSICAL INJURY,7
CATIGAN,2020-08-01,MURDER,14
LUBOGAN,2020-08-01,HOMICIDE,14
CENTRO SAN JUAN,2020-08-01,VANDALISM,22
AGDAO PROPER,2020-08-01,BURGLARY,17
TORIL,2020-08-01,MURDER,5
BARANGAY 11-A,2020-08-01,ILLEGAL GAMBLING,12
SALOY,2020-08-01,THEFT,5
DUTERTE,2020-08-01,BURGLARY,15
BARANGAY 13-B,2020-08-01,DRUG-RELATED,13
BARANGAY 13-B,2020-08-01,ILLEGAL POSSESSION OF FIREARMS,18
BAO ESCUELA,2020-08-01,CHILD ABUSE,15
LASANG,2020-08-01,CHILD ABUSE,12
TALANDANG,2020-08-01,VANDALISM,15
CATALUNAN GRANDE,2020-09-01,HOMICIDE,22
BARANGAY 9-A,2020-09-01,MURDER,12
SUBASTA,2020-09-01,CARNAPPING,7
TALOMO,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,15
SAN ANTONIO,2020-09-01,CHILD ABUSE,19
PANALUM,2020-09-01,PHYSICAL INJURY,5
BARANGAY 17-B,2020-09-01,PHYSICAL INJURY,10
BALENGAENG,2020-09-01,ROBBERY,21
SUBASTA,2020-09-01,RAPE,16
SALUMAY,2020-09-01,DRUG-RELATED,19
TALOMO RIVER,2020-09-01,BURGLARY,2
GUMITAN,2020-09-01,CARNAPPING,20
CATALUNAN PEQUENO,2020-09-01,DRUG-RELATED,24
LAPU-LAPU,2020-09-01,RAPE,1
CAWAYAN,2020-09-01,ROBBERY,1
PANALUM,2020-09-01,DRUG-RELATED,4
LIZADA,2020-09-01,ROBBERY,16
BAYABAS,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,10
GUMITAN,2020-09-01,PHYSICAL INJURY,23
TACUNAN,2020-09-01,THEFT,10
CARMEN,2020-09-01,DRUG-RELATED,1
BARANGAY 26-C,2020-09-01,VANDALISM,9
TORIL,2020-09-01,CHILD ABUSE,15
ACACIA,2020-09-01,HOMICIDE,21
NEW VALENCIA,2020-09-01,PHYSICAL INJURY,20
TUNGKALAN,2020-09-01,MURDER,7
CAWAYAN,2020-09-01,VANDALISM,22
SALUMAY,2020-09-01,RAPE,22
TALOMO RIVER,2020-09-01,BURGLARY,10
MANUEL GUIANGA,2020-09-01,THEFT,23
MARILOG,2020-09-01,THEFT,1
CAWAYAN,2020-09-01,ILLEGAL GAMBLING,2
74-A MATINA CROSSING,2020-09-01,BURGLARY,20
SUBASTA,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,15
ALFONSO ANGLIONGTO SR,2020-09-01,CHILD ABUSE,11
CALINAN,2020-09-01,ILLEGAL GAMBLING,23
NEW VALENCIA,2020-09-01,DRUG-RELATED,20
SUAWAN,2020-09-01,VANDALISM,19
DUTERTE,2020-09-01,CHILD ABUSE,1
MARAPANGI,2020-09-01,CHILD ABUSE,8
BARANGAY 17-B,2020-09-01,CHILD ABUSE,14
TORIL,2020-09-01,ROBBERY,3
LUBOGAN,2020-09-01,PHYSICAL INJURY,15
TACUNAN,2020-09-01,ROBBERY,22
BARANGAY 10-A,2020-09-01,ROBBERY,2
BARANGAY 3-A,2020-09-01,DRUG-RELATED,15
SANTO NINO,2020-09-01,MURDER,20
BARANGAY 10-A,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,8
BARANGAY 27-C,2020-09-01,BURGLARY,18
RIVERSIDE,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,8
TUNGKALAN,2020-09-01,HOMICIDE,21
BALENGAENG,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,1
74-A MATINA CROSSING,2020-09-01,ILLEGAL POSSESSION OF FIREARMS,8
TAMAYONG,2020-09-01,THEFT,3
BARANGAY 10-A,2020-09-01,ILLEGAL GAMBLING,16
BARANGAY 14-B,2020-09-01,BURGLARY,20
TIBULOY,2020-09-01,CARNAPPING,20
ULAS,2020-09-01,HOMICIDE,4
TIGATTO,2020-09-01,ROBBERY,13
MALABOG,2020-09-01,HOMICIDE,7
LUBOGAN,2020-09-01,THEFT,10
BAGO GALLERA,2020-09-01,VANDALISM,23
ULAS,2020-09-01,RAPE,16
SALOY,2020-09-01,RAPE,21
AQUINO,2020-09-01,BURGLARY,17
MANUEL GUIANGA,2020-09-01,MURDER,19
DUMOY,2020-09-01,BURGLARY,17
BARANGAY 17-B,2020-09-01,PHYSICAL INJURY,17
EDEN,2020-09-01,PHYSICAL INJURY,15
CATALUNAN GRANDE,2020-09-01,ILLEGAL GAMBLING,12
FATIMA,2020-10-01,BURGLARY,24
SALUMAY,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,23
MAGSAYSAY,2020-10-01,RAPE,15
COMMUNAL,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,23
BARANGAY 22-C,2020-10-01,THEFT,20
SAN ANTONIO,2020-10-01,MURDER,21
ANGALAN,2020-10-01,HOMICIDE,13
MAPI-ILA,2020-10-01,MURDER,1
FATIMA,2020-10-01,PHYSICAL INJURY,24
TUNGKALAN,2020-10-01,MURDER,23
WANGAN,2020-10-01,THEFT,22
VICENTE HIZON,2020-10-01,CHILD ABUSE,22
SAN ANTONIO,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,8
TALOMO RIVER,2020-10-01,CHILD ABUSE,14
SANTO NINO,2020-10-01,CHILD ABUSE,22
BALENGAENG,2020-10-01,HOMICIDE,22
BARANGAY 2-A,2020-10-01,VANDALISM,24
WINES,2020-10-01,DRUG-RELATED,5
TALANDANG,2020-10-01,DRUG-RELATED,17
BAYABAS,2020-10-01,MURDER,23
LUBOGAN,2020-10-01,CHILD ABUSE,7
MATINA PANGI,2020-10-01,BURGLARY,6
TIBUNGCO,2020-10-01,MURDER,4
BARANGAY 32-D,2020-10-01,DRUG-RELATED,3
AGDAO PROPER,2020-10-01,PHYSICAL INJURY,8
WINES,2020-10-01,MURDER,13
SUBASTA,2020-10-01,RAPE,1
BARANGAY 28-C,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,20
BAO ESCUELA,2020-10-01,MURDER,15
40-D BOLTON ISLA,2020-10-01,HOMICIDE,16
CENTRO SAN JUAN,2020-10-01,DRUG-RELATED,23
MAA,2020-10-01,MURDER,22
BARANGAY 23-C,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,2
BARANGAY 28-C,2020-10-01,BURGLARY,2
BUNAWAN,2020-10-01,PHYSICAL INJURY,20
SANTO NINO,2020-10-01,RAPE,19
MAPI-ILA,2020-10-01,PHYSICAL INJURY,20
TUGBOK,2020-10-01,ILLEGAL GAMBLING,24
BUHANGIN,2020-10-01,HOMICIDE,23
BARANGAY 27-C,2020-10-01,CARNAPPING,18
BARANGAY 11-A,2020-10-01,THEFT,8
CATALUNAN GRANDE,2020-10-01,DRUG-RELATED,23
BAGO APLAYA,2020-10-01,PHYSICAL INJURY,2
MARILOG,2020-10-01,BURGLARY,24
BARANGAY 26-C,2020-10-01,VANDALISM,11
BAYABAS,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,2
MAHAYAG,2020-10-01,CARNAPPING,9
SANTO NINO,2020-10-01,BURGLARY,18
BARANGAY 20-B,2020-10-01,MURDER,22
BANTOL,2020-10-01,BURGLARY,2
MANUEL GUIANGA,2020-10-01,THEFT,20
BARANGAY 38-D,2020-10-01,CARNAPPING,16
40-D BOLTON ISLA,2020-10-01,PHYSICAL INJURY,4
CATIGAN,2020-10-01,PHYSICAL INJURY,2
MAHAYAG,2020-10-01,CHILD ABUSE,13
PAMPANGA,2020-10-01,ROBBERY,5
TOMAS MONTEVERDE,2020-10-01,VANDALISM,12
TAPAK,2020-10-01,THEFT,9
LACSON,2020-10-01,CHILD ABUSE,18
MINTAL,2020-10-01,BURGLARY,3
BARANGAY 8-A,2020-10-01,RAPE,4
TORIL,2020-10-01,BURGLARY,12
LIZADA,2020-10-01,DRUG-RELATED,21
BAGO OSHIRO,2020-10-01,BURGLARY,4
LOS AMIGOS,2020-10-01,PHYSICAL INJURY,6
LOS AMIGOS,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,22
TALOMO,2020-10-01,ILLEGAL POSSESSION OF FIREARMS,3
GUMALANG,2020-10-01,CHILD ABUSE,4
BARANGAY 23-C,2020-10-01,ROBBERY,7
BAGO APLAYA,2020-10-01,CHILD ABUSE,20
ALAMBRE,2020-11-01,CHILD ABUSE,16
LIZADA,2020-11-01,VANDALISM,6
SANTO NINO,2020-11-01,BURGLARY,2
RIVERSIDE,2020-11-01,DRUG-RELATED,9
MANDUG,2020-11-01,MURDER,14
CAWAYAN,2020-11-01,BURGLARY,13
PAMPANGA,2020-11-01,MURDER,17
SAN ISIDRO,2020-11-01,ILLEGAL GAMBLING,24
BARANGAY 2-A,2020-11-01,PHYSICAL INJURY,9
SUAWAN,2020-11-01,RAPE,4
WINES,2020-11-01,HOMICIDE,11
MAPI-ILA,2020-11-01,ILLEGAL GAMBLING,5
BARANGAY 14-B,2020-11-01,MURDER,17
MANUEL GUIANGA,2020-11-01,THEFT,10
TAGURANO,2020-11-01,ROBBERY,1
PANALUM,2020-11-01,CHILD ABUSE,12
BARANGAY 13-B,2020-11-01,RAPE,8
MALAGOS,2020-11-01,MURDER,22
BARANGAY 3-A,2020-11-01,RAPE,16
BARANGAY 8-A,2020-11-01,PHYSICAL INJURY,4
BARANGAY 17-B,2020-11-01,CHILD ABUSE,14
ALFONSO ANGLIONGTO SR,2020-11-01,HOMICIDE,19
TACUNAN,2020-11-01,CHILD ABUSE,16
ALAMBRE,2020-11-01,BURGLARY,8
BARANGAY 20-B,2020-11-01,VANDALISM,10
TACUNAN,2020-11-01,VANDALISM,17
FATIMA,2020-11-01,PHYSICAL INJURY,9
CATIGAN,2020-11-01,ILLEGAL GAMBLING,18
CARMEN,2020-11-01,MURDER,20
BARANGAY 32-D,2020-11-01,MURDER,21
BARANGAY 19-B,2020-11-01,RAPE,3
BALIOK,2020-11-01,VANDALISM,8
SUAWAN,2020-11-01,HOMICIDE,13
DALIAO,2020-11-01,ILLEGAL POSSESSION OF FIREARMS,3
CAWAYAN,2020-11-01,DRUG-RELATED,16
CARMEN,2020-11-01,THEFT,19
CATIGAN,2020-11-01,THEFT,24
74-A MATINA CROSSING,2020-11-01,ILLEGAL POSSESSION OF FIREARMS,5
TAMAYONG,2020-11-01,CARNAPPING,22
TACUNAN,2020-11-01,RAPE,6
MAGTUOD,2020-11-01,THEFT,19
LAPU-LAPU,2020-11-01,CHILD ABUSE,22
BARANGAY 10-A,2020-11-01,CARNAPPING,1
MATINA APLAYA,2020-11-01,THEFT,5
MAHAYAG,2020-11-01,ILLEGAL POSSESSION OF FIREARMS,24
DUTERTE,2020-11-01,ROBBERY,8
PANALUM,2020-11-01,CHILD ABUSE,22
DALIAO,2020-11-01,CARNAPPING,2
BARANGAY 18-B,2020-11-01,BURGLARY,8
LASANG,2020-11-01,VANDALISM,11
TAMAYONG,2020-11-01,RAPE,12
TAPAK,2020-11-01,CARNAPPING,4
BUDA,2020-11-01,HOMICIDE,17
BAGUIO PROPER,2020-11-01,CARNAPPING,17
LACSON,2020-11-01,HOMICIDE,1
WANGAN,2020-11-01,RAPE,2
BANTOL,2020-11-01,DRUG-RELATED,22
40-D BOLTON ISLA,2020-11-01,BURGLARY,13
MALAGOS,2020-11-01,ILLEGAL GAMBLING,12
DUMOY,2020-11-01,RAPE,18
SASA,2020-11-01,PHYSICAL INJURY,15
BARANGAY 9-A,2020-11-01,VANDALISM,5
BARANGAY 37-D,2020-11-01,MURDER,24
ANGALAN,2020-11-01,PHYSICAL INJURY,20
BAGO GALLERA,2020-11-01,CHILD ABUSE,8
COMMUNAL,2020-11-01,RAPE,20
TUNGKALAN,2020-11-01,CARNAPPING,9
BARANGAY 38-D,2020-11-01,ROBBERY,1
MAGTUOD,2020-11-01,BURGLARY,3
TAPAK,2020-11-01,HOMICIDE,19
SUBASTA,2020-12-01,RAPE,9
BAYABAS,2020-12-01,RAPE,16
MAA,2020-12-01,CHILD ABUSE,22
MARAPANGI,2020-12-01,MURDER,20
BAGO GALLERA,2020-12-01,RAPE,2
LASANG,2020-12-01,CARNAPPING,24
MALAGOS,2020-12-01,THEFT,19
RIVERSIDE,2020-12-01,HOMICIDE,18
TAGURANO,2020-12-01,ROBBERY,6
SANTO NINO,2020-12-01,PHYSICAL INJURY,8
BAGO GALLERA,2020-12-01,PHYSICAL INJURY,2
CAWAYAN,2020-12-01,CARNAPPING,23
BARANGAY 37-D,2020-12-01,ROBBERY,18
SIRIB,2020-12-01,ILLEGAL GAMBLING,22
MALAGOS,2020-12-01,CARNAPPING,13
BALENGAENG,2020-12-01,CARNAPPING,4
SAN ANTONIO,2020-12-01,MURDER,3
MAHAYAG,2020-12-01,HOMICIDE,12
BARANGAY 13-B,2020-12-01,DRUG-RELATED,7
40-D BOLTON ISLA,2020-12-01,BURGLARY,3
CABANTIAN,2020-12-01,VANDALISM,22
CENTRO SAN JUAN,2020-12-01,HOMICIDE,9
RIVERSIDE,2020-12-01,BURGLARY,3
BAYABAS,2020-12-01,CARNAPPING,6
TAGURANO,2020-12-01,ROBBERY,3
BAGUIO PROPER,2020-12-01,THEFT,3
LASANG,2020-12-01,RAPE,7
CATALUNAN PEQUENO,2020-12-01,ILLEGAL POSSESSION OF FIREARMS,13
COMMUNAL,2020-12-01,CARNAPPING,20
TAMBOBONG,2020-12-01,THEFT,24
BAGANIHAN,2020-12-01,DRUG-RELATED,20
BANTOL,2020-12-01,RAPE,12
BAGO APLAYA,2020-12-01,ILLEGAL GAMBLING,23
TIGATTO,2020-12-01,BURGLARY,22
SIRIB,2020-12-01,RAPE,18
TOMAS MONTEVERDE,2020-12-01,CARNAPPING,16
PAQUIBATO,2020-12-01,CARNAPPING,4
TACUNAN,2020-12-01,ILLEGAL POSSESSION OF FIREARMS,19
BAYABAS,2020-12-01,ILLEGAL GAMBLING,12
PANACAN,2020-12-01,MURDER,20
MAGTUOD,2020-12-01,HOMICIDE,21
VICENTE HIZON,2020-12-01,HOMICIDE,19
TIBULOY,2020-12-01,ILLEGAL GAMBLING,15
TALANDANG,2020-12-01,CARNAPPING,21
VICENTE HIZON,2020-12-01,ROBBERY,7
BARANGAY 28-C,2020-12-01,MURDER,9
BARANGAY 28-C,2020-12-01,RAPE,17
DUMOY,2020-12-01,MURDER,16
WINES,2020-12-01,VANDALISM,17
BARANGAY 28-C,2020-12-01,ROBBERY,3
PANACAN,2020-12-01,MURDER,22
MATINA CROSSING,2020-12-01,THEFT,20
MATINA PANGI,2020-12-01,HOMICIDE,4
MATINA CROSSING,2020-12-01,CHILD ABUSE,21
ALFONSO ANGLIONGTO SR,2020-12-01,CHILD ABUSE,22
MATINA PANGI,2020-12-01,ROBBERY,10
LIZADA,2020-12-01,THEFT,7
BARANGAY 38-D,2020-12-01,RAPE,10
AQUINO,2020-12-01,BURGLARY,5
BARANGAY 39-D,2020-12-01,ILLEGAL POSSESSION OF FIREARMS,10
MANUEL GUIANGA,2020-12-01,ILLEGAL POSSESSION OF FIREARMS,20
CATALUNAN PEQUENO,2020-12-01,THEFT,11
GUMALANG,2020-12-01,DRUG-RELATED,8
CALINAN,2020-12-01,ROBBERY,24
BARANGAY 26-C,2020-12-01,VANDALISM,23
MAGTUOD,2020-12-01,THEFT,16
BARANGAY 3-A,2020-12-01,DRUG-RELATED,6
TACUNAN,2020-12-01,CHILD ABUSE,6
SUBASTA,2020-12-01,RAPE,10
MATINA PANGI,2020-12-01,DRUG-RELATED,5
BARANGAY 26-C,2021-01-01,ILLEGAL POSSESSION OF FIREARMS,9
BARANGAY 9-A,2021-01-01,THEFT,12
PANACAN,2021-01-01,VANDALISM,11
BARANGAY 8-A,2021-01-01,ILLEGAL POSSESSION OF FIREARMS,24
INDANGAN,2021-01-01,VANDALISM,11
BINUGAO,2021-01-01,ROBBERY,2
LIZADA,2021-01-01,MURDER,10
SUBASTA,2021-01-01,ROBBERY,20
BAO ESCUELA,2021-01-01,HOMICIDE,17
MATINA CROSSING,2021-01-01,ROBBERY,14
TIGATTO,2021-01-01,THEFT,23
BARANGAY 9-A,2021-01-01,HOMICIDE,9
76-A BUCANA,2021-01-01,MURDER,21
TORIL,2021-01-01,ILLEGAL GAMBLING,10
SALAPAWAN,2021-01-01,HOMICIDE,17
BARANGAY 23-C,2021-01-01,MURDER,17
MARILOG,2021-01-01,RAPE,1
PACIANO BANGOY,2021-01-01,CARNAPPING,3
TOMAS MONTEVERDE,2021-01-01,ROBBERY,22
BARANGAY 9-A,2021-01-01,BURGLARY,12
74-A MATINA CROSSING,2021-01-01,ILLEGAL POSSESSION OF FIREARMS,16
EDEN,2021-01-01,MURDER,17
LAPU-LAPU,2021-01-01,THEFT,19
SAN ANTONIO,2021-01-01,BURGLARY,21
CATIGAN,2021-01-01,HOMICIDE,9
BAGO APLAYA,2021-01-01,MURDER,11
BUHANGIN,2021-01-01,MURDER,2
CENTRO SAN JUAN,2021-01-01,ROBBERY,10
MALABOG,2021-01-01,MURDER,11
BARANGAY 27-C,2021-01-01,BURGLARY,5
BARANGAY 13-B,2021-01-01,MURDER,7
MAGSAYSAY,2021-01-01,CARNAPPING,2
WINES,2021-01-01,THEFT,20
TOMAS MONTEVERDE,2021-01-01,THEFT,4
BALENGAENG,2021-01-01,RAPE,6
40-D BOLTON ISLA,2021-01-01,DRUG-RELATED,5
CENTRO SAN JUAN,2021-01-01,THEFT,7
SAN ANTONIO,2021-01-01,PHYSICAL INJURY,12
ULAS,2021-01-01,CARNAPPING,15
MATINA APLAYA,2021-01-01,VANDALISM,21
BARANGAY 32-D,2021-01-01,BURGLARY,5
SIRIB,2021-01-01,DRUG-RELATED,19
BUHANGIN,2021-01-01,THEFT,11
BUHANGIN,2021-01-01,ROBBERY,19
BAGO APLAYA,2021-01-01,THEFT,1
ANGALAN,2021-01-01,CARNAPPING,8
SALOY,2021-01-01,CHILD ABUSE,14
BARANGAY 38-D,2021-01-01,CARNAPPING,5
LACSON,2021-01-01,VANDALISM,20
BAGANIHAN,2021-01-01,ILLEGAL POSSESSION OF FIREARMS,18
MAPI-ILA,2021-01-01,RAPE,11
MULIG,2021-01-01,HOMICIDE,1
SALAYSAY,2021-01-01,RAPE,18
ILANG,2021-01-01,MURDER,16
LAMANAN,2021-01-01,VANDALISM,2
BARANGAY 5-A,2021-01-01,HOMICIDE,17
DUTERTE,2021-01-01,VANDALISM,19
SUBASTA,2021-01-01,CHILD ABUSE,20
MAGTUOD,2021-01-01,CARNAPPING,13
MABUHAY,2021-01-01,MURDER,18
SIRIB,2021-01-01,CARNAPPING,20
MALAGOS,2021-01-01,ROBBERY,22
CALINAN,2021-01-01,THEFT,24
TUGBOK,2021-01-01,DRUG-RELATED,13
TUGBOK,2021-01-01,ROBBERY,1
LUBOGAN,2021-01-01,HOMICIDE,10
SIRIB,2021-01-01,PHYSICAL INJURY,23
BARANGAY 9-A,2021-01-01,ILLEGAL POSSESSION OF FIREARMS,16
PAMPANGA,2021-01-01,HOMICIDE,10
TALANDANG,2021-01-01,THEFT,7
BAO JOAQUIN,2021-02-01,BURGLARY,14
MATINA PANGI,2021-02-01,ILLEGAL POSSESSION OF FIREARMS,17
MABUHAY,2021-02-01,ILLEGAL GAMBLING,8
MAGSAYSAY,2021-02-01,HOMICIDE,5
TORIL,2021-02-01,ROBBERY,6
SUBASTA,2021-02-01,ROBBERY,11
BARANGAY 19-B,2021-02-01,MURDER,3
BARANGAY 10-A,2021-02-01,HOMICIDE,8
CARMEN,2021-02-01,ILLEGAL GAMBLING,19
PANALUM,2021-02-01,THEFT,2
DUTERTE,2021-02-01,ILLEGAL POSSESSION OF FIREARMS,15
TOMAS MONTEVERDE,2021-02-01,THEFT,9
SIRIB,2021-02-01,THEFT,10
BANTOL,2021-02-01,ROBBERY,16
LAMANAN,2021-02-01,RAPE,17
ACACIA,2021-02-01,DRUG-RELATED,9
DUTERTE,2021-02-01,PHYSICAL INJURY,20
CAWAYAN,2021-02-01,MURDER,18
GUMALANG,2021-02-01,MURDER,17
SASA,2021-02-01,MURDER,22
MALAGOS,2021-02-01,VANDALISM,16
CATALUNAN PEQUENO,2021-02-01,THEFT,8
BARANGAY 10-A,2021-02-01,ROBBERY,4
BARANGAY 14-B,2021-02-01,THEFT,19
BAGO APLAYA,2021-02-01,CHILD ABUSE,6
TAPAK,2021-02-01,BURGLARY,23
BARANGAY 23-C,2021-02-01,RAPE,21
TORIL,2021-02-01,CHILD ABUSE,19
BARANGAY 19-B,2021-02-01,ILLEGAL GAMBLING,13
TAGURANO,2021-02-01,CARNAPPING,10
TAPAK,2021-02-01,ILLEGAL POSSESSION OF FIREARMS,24
BARANGAY 19-B,2021-02-01,BURGLARY,7
BAYABAS,2021-02-01,THEFT,3
LOS AMIGOS,2021-02-01,BURGLARY,15
SALAPAWAN,2021-02-01,DRUG-RELATED,7
ULAS,2021-02-01,RAPE,12
BARANGAY 26-C,2021-02-01,BURGLARY,4
BARANGAY 14-B,2021-02-01,VANDALISM,17
SALOY,2021-02-01,MURDER,21
FATIMA,2021-02-01,DRUG-RELATED,24
BAGANIHAN,2021-02-01,RAPE,6
BARANGAY 14-B,2021-02-01,MURDER,8
BARANGAY 14-B,2021-02-01,RAPE,3
ILANG,2021-02-01,MURDER,15
WANGAN,2021-02-01,VANDALISM,15
MARILOG,2021-02-01,CHILD ABUSE,15
TACUNAN,2021-02-01,DRUG-RELATED,4
MATINA CROSSING,2021-02-01,CHILD ABUSE,10
TOMAS MONTEVERDE,2021-02-01,ILLEGAL GAMBLING,10
LAMANAN,2021-02-01,CHILD ABUSE,8
MABUHAY,2021-02-01,ROBBERY,14
BARANGAY 13-B,2021-02-01,ROBBERY,4
SALUMAY,2021-02-01,DRUG-RELATED,14
MATINA CROSSING,2021-02-01,DRUG-RELATED,18
BARANGAY 13-B,2021-02-01,RAPE,21
TAMAYONG,2021-02-01,ILLEGAL POSSESSION OF FIREARMS,2
BARANGAY 26-C,2021-02-01,DRUG-RELATED,2
MALAGOS,2021-02-01,VANDALISM,23
TAGURANO,2021-02-01,PHYSICAL INJURY,22
AGDAO PROPER,2021-02-01,BURGLARY,9
BARANGAY 27-C,2021-02-01,PHYSICAL INJURY,18
SALOY,2021-02-01,HOMICIDE,13
TAMBOBONG,2021-02-01,VANDALISM,19
BAGUIO PROPER,2021-02-01,CARNAPPING,5
TAMUGAN,2021-02-01,CHILD ABUSE,15
PAMPANGA,2021-02-01,ILLEGAL POSSESSION OF FIREARMS,19
SAN ISIDRO,2021-02-01,DRUG-RELATED,2
TAPAK,2021-02-01,CHILD ABUSE,16
DUTERTE,2021-02-01,CHILD ABUSE,3
BARANGAY 27-C,2021-02-01,ILLEGAL GAMBLING,12
TOMAS MONTEVERDE,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,2
DUMOY,2021-03-01,CARNAPPING,8
DUMOY,2021-03-01,VANDALISM,23
TIBULOY,2021-03-01,BURGLARY,5
BARANGAY 18-B,2021-03-01,CARNAPPING,5
SALAPAWAN,2021-03-01,BURGLARY,15
MULIG,2021-03-01,MURDER,5
SAN ISIDRO,2021-03-01,HOMICIDE,23
MANUEL GUIANGA,2021-03-01,ROBBERY,10
PANALUM,2021-03-01,HOMICIDE,3
SUBASTA,2021-03-01,CARNAPPING,24
MINTAL,2021-03-01,PHYSICAL INJURY,4
TALANDANG,2021-03-01,HOMICIDE,12
CALINAN,2021-03-01,ILLEGAL GAMBLING,23
BARANGAY 32-D,2021-03-01,CHILD ABUSE,20
TORIL,2021-03-01,THEFT,7
BARANGAY 32-D,2021-03-01,HOMICIDE,24
TAGURANO,2021-03-01,ILLEGAL GAMBLING,2
MALAGOS,2021-03-01,CHILD ABUSE,10
BARANGAY 8-A,2021-03-01,DRUG-RELATED,23
BARANGAY 38-D,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,2
BARANGAY 3-A,2021-03-01,RAPE,4
BARANGAY 17-B,2021-03-01,MURDER,6
SUAWAN,2021-03-01,RAPE,22
TAMAYONG,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,11
TORIL,2021-03-01,MURDER,21
SUBASTA,2021-03-01,CARNAPPING,1
MATINA PANGI,2021-03-01,THEFT,8
TUNGKALAN,2021-03-01,VANDALISM,6
BUNAWAN,2021-03-01,VANDALISM,2
AQUINO,2021-03-01,HOMICIDE,19
TAMBOBONG,2021-03-01,THEFT,24
SALOY,2021-03-01,THEFT,2
SALUMAY,2021-03-01,HOMICIDE,13
EDEN,2021-03-01,VANDALISM,23
MAHAYAG,2021-03-01,MURDER,5
TALOMO,2021-03-01,RAPE,1
TAMAYONG,2021-03-01,RAPE,13
TALANDANG,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,16
BARANGAY 17-B,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,5
BARANGAY 22-C,2021-03-01,VANDALISM,10
BARANGAY 14-B,2021-03-01,VANDALISM,15
SASA,2021-03-01,PHYSICAL INJURY,11
MABUHAY,2021-03-01,ILLEGAL GAMBLING,23
LASANG,2021-03-01,BURGLARY,22
NEW VALENCIA,2021-03-01,HOMICIDE,18
BARANGAY 27-C,2021-03-01,VANDALISM,20
CALINAN,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,2
BARANGAY 18-B,2021-03-01,DRUG-RELATED,5
BARANGAY 14-B,2021-03-01,CHILD ABUSE,22
CARMEN,2021-03-01,ILLEGAL POSSESSION OF FIREARMS,4
MAPI-ILA,2021-03-01,MURDER,5
SAN ANTONIO,2021-03-01,VANDALISM,24
PAQUIBATO,2021-03-01,ILLEGAL GAMBLING,3
MATINA CROSSING,2021-03-01,RAPE,21
ANGALAN,2021-03-01,MURDER,8
BAGANIHAN,2021-03-01,ILLEGAL GAMBLING,19
MATINA CROSSING,2021-03-01,HOMICIDE,6
BARANGAY 39-D,2021-03-01,BURGLARY,4
PAMPANGA,2021-03-01,HOMICIDE,5
BARANGAY 23-C,2021-03-01,RAPE,18
BARANGAY 22-C,2021-03-01,BURGLARY,24
